[2023-10-12 16:38:30,467]ERROR: 加入解密任務: 54/96, 預計剩餘時間: 1293.224151134491(__main__)
[2023-10-12 16:38:58,753]ERROR: 加入解密任務: 55/96, 預計剩餘時間: 1188.0126113891602(__main__)
[2023-10-12 16:39:30,759]ERROR: 加入解密任務: 56/96, 預計剩餘時間: 1312.2337338924408(__main__)
[2023-10-12 16:40:02,281]ERROR: 加入解密任務: 57/96, 預計剩餘時間: 1260.8634662628174(__main__)
[2023-10-12 16:40:36,292]ERROR: 加入解密任務: 58/96, 預計剩餘時間: 1326.4052209854126(__main__)
[2023-10-12 16:41:06,330]ERROR: 加入解密任務: 59/96, 預計剩餘時間: 1141.4139070510864(__main__)
[2023-10-12 16:41:36,507]ERROR: 加入解密任務: 60/96, 預計剩餘時間: 1116.537498474121(__main__)
[2023-10-12 16:42:07,748]ERROR: 加入解密任務: 61/96, 預計剩餘時間: 1124.6463432312012(__main__)
[2023-10-12 16:42:40,622]ERROR: 加入解密任務: 62/96, 預計剩餘時間: 1150.5723869800568(__main__)
[2023-10-12 16:43:12,348]ERROR: 加入解密任務: 63/96, 預計剩餘時間: 1078.6601538658142(__main__)
[2023-10-12 16:43:40,779]ERROR: 加入解密任務: 64/96, 預計剩餘時間: 938.2231571674347(__main__)
[2023-10-12 16:44:09,741]ERROR: 加入解密任務: 65/96, 預計剩餘時間: 926.7781600952148(__main__)
[2023-10-12 16:44:38,294]ERROR: 加入解密任務: 66/96, 預計剩餘時間: 885.1280398368835(__main__)
[2023-10-12 16:45:08,402]ERROR: 加入解密任務: 67/96, 預計剩餘時間: 903.194375038147(__main__)
[2023-10-12 16:45:41,395]ERROR: 加入解密任務: 68/96, 預計剩餘時間: 956.8035278320312(__main__)
[2023-10-12 16:46:11,376]ERROR: 加入解密任務: 69/96, 預計剩餘時間: 839.4378576278687(__main__)
[2023-10-12 16:46:42,132]ERROR: 加入解密任務: 70/96, 預計剩餘時間: 830.3972532749176(__main__)
[2023-10-12 16:47:12,402]ERROR: 加入解密任務: 71/96, 預計剩餘時間: 787.0146188735962(__main__)
[2023-10-12 16:47:43,841]ERROR: 加入解密任務: 72/96, 預計剩餘時間: 785.9596073627472(__main__)
[2023-10-12 16:48:15,664]ERROR: 加入解密任務: 73/96, 預計剩餘時間: 763.7463512420654(__main__)
[2023-10-12 16:48:49,363]ERROR: 加入解密任務: 74/96, 預計剩餘時間: 775.0658655166626(__main__)
[2023-10-12 16:49:23,398]ERROR: 加入解密任務: 75/96, 預計剩餘時間: 748.7704319953918(__main__)
